Half Reaction,Standard Reduction Potential (V)
TeO2 + 4 H+ + 4 e- -> Te + 2 H2O,0.593
MnO4- + 2 H2O + 3 e- -> MnO2 + 4 OH-,0.595
Rh2+ + 2 e- -> Rh,0.600
Rh+ + e- -> Rh,0.600
MnO4(2-) + 2 H2O + 2 e- -> MnO2 + 4 OH-,0.60
2 AgO + H2O + 2 e- -> Ag2O + 2 OH-,0.607
BrO3- + 3 H2O + 6 e- -> Br- + 6 OH-,0.61
UO2+ + 4 H+ + e- -> U4+ + 2 H2O,0.612
Hg2SO4 + 2 e- -> 2 Hg + SO4(2-),0.6125
ClO3- + 3 H2O + 6 e- -> Cl- + 6 OH-,0.62
Hg2HPO4 + 2 e- -> 2 Hg + HPO4(2-),0.6359
Ag(ac) + e- -> Ag + (ac)-,0.643
Sb2O5(valentinite) + 4 H+ + 4 e- -> Sb2O3 + 2 H2O,0.649
Ag2SO4 + 2 e- -> 2 Ag + SO4(2-),0.654
ClO2- + H2O + 2 e- -> ClO- + 2 OH-,0.66
Sb2O5(senarmontite) + 4 H+ + 4 e- -> Sb2O5 + 2 H2O,0.671
[PtCl6]2- + 2 e- -> [PtCl4]2- + 2 Cl-,0.68
O2 + 2 H+ + 2 e- -> H2O2,0.695
p-benzoquinone + 2 H+ + 2 e- -> hydroquinone,0.6992
H3IO6(2-) + 2 e- -> IO3- + 3 OH-,0.7
TcO4- + 4 H+ + 3 e- -> TcO2 + 2 H2O,0.738
Ag2O3 + H2O + 2 e- -> 2 AgO + 2 OH-,0.739
Tl3+ + 3 e- -> Tl,0.741
[PtCl4]2- + 2 e- -> Pt + 4 Cl-,0.755
Rh3+ + 3 e- -> Rh,0.758
ClO2- + 2 H2O + 4 e- -> Cl- + 4 OH-,0.76
2 NO + H2O + 2 e- -> N2O + 2 OH-,0.76
BrO- + H2O + 2 e- -> Br- + 2 OH-,0.761
ReO4- + 2 H+ + e- -> ReO3 + H2O,0.768
(CNS)2 + 2 e- -> 2 CNS-,0.77
[IrCl6]3- + 3 e- -> Ir + 6 Cl-,0.77
Fe3+ + e- -> Fe2+,0.771
AgF + e- -> Ag + F-,0.779
[Fe(bipy)2]3+ + e- -> [Fe(bipy)2]2+,0.78
